Date,Product,Category,Region,Units_Sold,Unit_Price,Customer_Rating,Revenue
2026-01-05,Laptop,Computers,East,12,850,4.5,10200
2026-01-12,Mouse,Accessories,West,35,25,4.0,875
2026-01-19,Keyboard,Accessories,South,28,45,4.2,1260
2026-01-26,Monitor,Electronics,North,20,220,3.9,4400
2026-02-02,Laptop,Computers,East,15,900,4.6,13500
2026-02-09,Mouse,Accessories,West,42,30,,1260
2026-02-16,Keyboard,Accessories,,30,50,4.1,1500
2026-02-23,Monitor,Electronics,North,18,240,4.3,4320
2026-03-02,Laptop,Computers,South,17,875,4.7,14875
2026-03-09,Mouse,Accessories,West,38,28,3.8,1064
2026-03-16,Keyboard,Accessories,East,25,48,4.0,1200
2026-03-23,Monitor,Electronics,North,22,230,4.2,5060
2026-04-01,Laptop,Computers,East,150,920,4.5,138000
2026-04-08,Mouse,Accessories,,40,27,4.1,1080
2026-04-15,Keyboard,Accessories,South,32,52,,1664
2026-04-22,Monitor,Electronics,West,19,250,4.4,4750
2026-05-01,Laptop,Computers,North,14,890,4.6,12460
2026-05-08,Mouse,Accessories,East,36,29,3.9,1044
2026-05-15,Keyboard,Accessories,South,27,47,4.3,1269
2026-05-22,Monitor,Electronics,West,21,235,4.2,4935
